_column	_row	_well	barcodenr	barcodetype_genomic	barcodetype_transcriptomic	cellcount	clone_id	date_sorted	experiment	indexnr	library_type	limsid	plate_id	platenr	shield	tamox_ind	timepoint	tubenr
3	O	O3	339	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
3	P	P3	363	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
4	A	A4	4	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
4	B	B4	28	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
4	C	C4	52	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
4	D	D4	76	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
4	E	E4	100	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
4	F	F4	124	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
4	G	G4	148	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
4	H	H4	172	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
4	I	I4	196	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
4	J	J4	220	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
4	K	K4	244	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
4	L	L4	268	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
4	M	M4	292	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
4	N	N4	316	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
4	O	O4	340	BCv3_set1	BCv3_set2	0	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
4	P	P4	364	BCv3_set1	BCv3_set2	0	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	no	4	1
5	I	I5	197	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	yes	4	2
5	J	J5	221	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	yes	4	2
5	K	K5	245	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	yes	4	2
5	L	L5	269	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	yes	4	2
5	M	M5	293	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	yes	4	2
5	N	N5	317	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	yes	4	2
5	O	O5	341	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	yes	4	2
5	P	P5	365	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	yes	4	2
6	A	A6	6	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	yes	4	2
6	B	B6	30	BCv3_set1	BCv3_set2	1	B34	20190724	T1	1	Dam&T	KIN3801	T0101	1	[1/5000]	yes	4	2
